file,bars_N,avg_offdiag,rep_density,struct_entropy,block_coherence
temp_0.7_bars_64_005__barSSM_chroma_fs50.npy,9,0.8067414164543152,0.5714285714285714,3.3090667724609375,0.2472582459449768
temp_0.8_bars_16_001__barSSM_chroma_fs50.npy,16,0.4435860812664032,0.26666666666666666,4.1966166496276855,0.6455997228622437
temp_0.8_bars_16_002__barSSM_chroma_fs50.npy,8,0.3571022152900696,0.2857142857142857,1.7917593717575073,0.6749728918075562
temp_0.8_bars_16_003__barSSM_chroma_fs50.npy,17,0.5729864835739136,0.35833333333333334,4.559568405151367,0.35711175203323364
temp_0.8_bars_16_004__barSSM_chroma_fs50.npy,17,0.8129678964614868,0.6666666666666666,4.727693557739258,0.36208564043045044
temp_0.8_bars_16_005__barSSM_chroma_fs50.npy,16,0.5969654321670532,0.45714285714285713,4.425631046295166,0.6290130615234375
temp_0.8_bars_32_001__barSSM_chroma_fs50.npy,12,0.648429274559021,0.43636363636363634,3.901613712310791,0.4933846592903137
temp_0.8_bars_32_002__barSSM_chroma_fs50.npy,33,0.6254439949989319,0.5262096774193549,5.984348297119141,0.6312565803527832
temp_0.8_bars_32_003__barSSM_chroma_fs50.npy,10,0.656609833240509,0.6111111111111112,3.4313812255859375,0.43973106145858765
temp_0.8_bars_32_004__barSSM_chroma_fs50.npy,26,0.7417131066322327,0.64,5.597898483276367,0.3810388445854187
temp_0.8_bars_32_005__barSSM_chroma_fs50.npy,33,0.6732293367385864,0.5504032258064516,6.051469326019287,0.34573012590408325
temp_0.8_bars_48_001__barSSM_chroma_fs50.npy,47,0.5075150728225708,0.22608695652173913,6.7730207443237305,0.4003966450691223
temp_0.8_bars_48_002__barSSM_chroma_fs50.npy,15,0.9417717456817627,1.0,4.509707450866699,0.06197017431259155
temp_0.8_bars_48_003__barSSM_chroma_fs50.npy,7,0.8751358985900879,0.6666666666666666,2.688037872314453,0.17931097745895386
temp_0.8_bars_48_004__barSSM_chroma_fs50.npy,49,0.6049240827560425,0.3546099290780142,6.889507293701172,0.5125740766525269
temp_0.8_bars_48_005__barSSM_chroma_fs50.npy,48,0.6000429391860962,0.3089731729879741,6.896176815032959,0.3128238916397095
temp_0.8_bars_64_001__barSSM_chroma_fs50.npy,51,0.5044483542442322,0.3289795918367347,6.764312744140625,0.6700766086578369
temp_0.8_bars_64_002__barSSM_chroma_fs50.npy,65,0.503452718257904,0.2673611111111111,7.394014835357666,0.47326576709747314
temp_0.8_bars_64_003__barSSM_chroma_fs50.npy,64,0.5123755931854248,0.1930363543266769,7.448703765869141,0.3478620648384094
temp_0.8_bars_64_004__barSSM_chroma_fs50.npy,36,0.7115197777748108,0.46050420168067224,6.359100818634033,0.19368016719818115
temp_0.8_bars_64_005__barSSM_chroma_fs50.npy,63,0.27628567814826965,0.25647805393971446,6.339242935180664,0.7077006697654724
temp_0.9_bars_16_001__barSSM_chroma_fs50.npy,16,0.3291405439376831,0.10476190476190476,4.274898529052734,0.5027163028717041
temp_0.9_bars_16_002__barSSM_chroma_fs50.npy,17,0.6330950260162354,0.4083333333333333,4.6832733154296875,0.34415489435195923
temp_0.9_bars_16_003__barSSM_chroma_fs50.npy,15,0.6285937428474426,0.4945054945054945,4.391495227813721,0.396514892578125
temp_0.9_bars_16_004__barSSM_chroma_fs50.npy,1,nan,nan,nan,nan
temp_0.9_bars_16_005__barSSM_chroma_fs50.npy,16,0.646618664264679,0.5523809523809524,4.396056175231934,0.47765520215034485
temp_0.9_bars_32_001__barSSM_chroma_fs50.npy,3,0.989574134349823,1.0,-0.0,nan
temp_0.9_bars_32_002__barSSM_chroma_fs50.npy,6,0.19766521453857422,0.1,-0.0,-0.1087128221988678
