file,bars_N,global_key,key_stability,key_change_rate,chord_diversity,pitch_range,stepwise_ratio,note_density_mean,note_density_std,duration_entropy,error
temp_0.8_bars_48_005.mid,48,D:maj,0.3125,0.5531914893617021,0.5833333333333334,45.0,0.2978723404255319,39.666666666666664,12.488883946222824,0.9528040289878845,
temp_0.8_bars_64_001.mid,51,B:min,0.11764705882352941,0.16,0.21568627450980393,51.0,0.8985313751668892,35.27450980392157,15.097173389994264,0.7623471021652222,
temp_0.8_bars_64_002.mid,65,A:min,0.26153846153846155,0.5,0.5076923076923077,46.0,0.4584221748400853,24.73846153846154,9.88281635828561,1.870806336402893,
temp_0.8_bars_64_003.mid,64,C:maj,0.3125,0.8095238095238095,0.546875,80.0,0.4221105527638191,28.546875,9.984252737905576,0.39026767015457153,
temp_0.8_bars_64_004.mid,36,G:maj,0.4444444444444444,0.5714285714285714,0.4166666666666667,73.0,0.5305164319248826,28.61111111111111,16.72203765125161,1.6665306091308594,
temp_0.8_bars_64_005.mid,63,A:maj,0.38095238095238093,0.3709677419354839,0.4126984126984127,77.0,0.7029816513761468,25.285714285714285,17.124593445693016,0.06933579593896866,
temp_0.9_bars_16_001.mid,16,G:maj,0.0,0.8666666666666667,0.625,36.0,0.421875,11.3125,1.4456291882775472,0.8337618112564087,
temp_0.9_bars_16_002.mid,17,G:maj,0.5294117647058824,0.75,0.7647058823529411,50.0,0.3885350318471338,33.294117647058826,15.995457832781055,0.600688636302948,
temp_0.9_bars_16_003.mid,15,G:maj,0.26666666666666666,0.9285714285714286,0.4666666666666667,58.0,0.9448818897637795,42.666666666666664,9.264028401414917,0.2713416814804077,
temp_0.9_bars_16_004.mid,1,C:maj,1.0,0.0,1.0,6.0,0.4838709677419355,95.0,0.0,1.0289796590805054,
temp_0.9_bars_16_005.mid,16,A:maj,0.5625,0.5333333333333333,0.5,51.0,0.34513274336283184,21.875,13.55486536266591,1.6802585124969482,
temp_0.9_bars_32_001.mid,3,C:maj,1.0,0.0,1.0,22.0,0.4375,59.333333333333336,4.027681991198191,1.4432655572891235,
temp_0.9_bars_32_002.mid,6,G:min,0.0,0.2,0.3333333333333333,12.0,0.5966386554621849,67.83333333333333,4.017323597731316,0.18865525722503662,
temp_0.9_bars_32_003.mid,32,G#:maj,0.4375,0.7419354838709677,0.40625,45.0,0.5366795366795367,21.59375,2.6676227127350676,0.7729738354682922,
temp_0.9_bars_32_004.mid,7,C:maj,0.8571428571428571,0.16666666666666666,0.7142857142857143,45.0,0.5463917525773195,79.0,33.04542328371661,0.21767260134220123,
temp_0.9_bars_32_005.mid,13,C:maj,0.6153846153846154,0.5,0.7692307692307693,51.0,0.42735042735042733,37.53846153846154,24.148946097772797,1.9375554323196411,
temp_0.9_bars_48_001.mid,45,C:maj,0.7333333333333333,0.38636363636363635,0.35555555555555557,45.0,0.4117647058823529,26.755555555555556,8.105294718215731,1.8039765357971191,
temp_0.9_bars_48_002.mid,47,F:maj,0.23404255319148937,0.7391304347826086,0.6808510638297872,73.0,0.5067750677506775,40.148936170212764,10.86469731766313,1.929456114768982,
temp_0.9_bars_48_003.mid,49,C:maj,0.5102040816326531,0.6458333333333334,0.6122448979591837,53.0,0.28541666666666665,24.0,9.415575459019475,1.7036991119384766,
temp_0.9_bars_48_004.mid,49,C:maj,0.12244897959183673,0.4375,0.5510204081632653,45.0,0.5096899224806202,22.06122448979592,13.217811364826439,1.3933824300765991,
temp_0.9_bars_48_005.mid,43,G:maj,0.3488372093023256,0.5238095238095238,0.3953488372093023,50.0,0.399581589958159,50.95348837209303,19.691756613591753,0.9085494875907898,
temp_0.9_bars_64_001.mid,26,G:maj,0.23076923076923078,0.84,0.6153846153846154,47.0,0.4437869822485207,14.423076923076923,9.523949879213728,1.4295283555984497,
temp_0.9_bars_64_002.mid,64,C:maj,0.234375,0.6349206349206349,0.640625,69.0,0.34146341463414637,37.78125,26.313891738728042,1.6072543859481812,
temp_0.9_bars_64_003.mid,46,C:maj,0.21739130434782608,0.8444444444444444,0.717391304347826,59.0,0.284789644012945,30.97826086956522,14.632437358908525,2.091392993927002,
temp_0.9_bars_64_004.mid,63,C:maj,0.19047619047619047,0.6935483870967742,0.6031746031746031,70.0,0.3644859813084112,27.253968253968253,11.076886064588779,1.947425365447998,
temp_0.9_bars_64_005.mid,24,C:maj,0.625,0.5652173913043478,0.625,62.0,0.4826086956521739,48.458333333333336,17.939665471301918,0.6781293153762817,
